speciesid,speccode,genus,species,fbname,kingdom,phylum,class,order,family,iucn_id,iucn_code,iucn_version,expert_id
Fis-28123,11512,Albula,glossodonta,Roundjaw bonefish,Animalia,Chordata,Actinopterygii,Albuliformes,Albulidae,194299,VU,2015-2,7
Fis-22770,101,Alosa,alosa,Allis shad,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,903,LC,2015-2,7
Fis-52020,22521,Thalassoma,ascensionis,Greenfish,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,21689,DD,2015-2,7
Fis-22868,231,Coregonus,albula,Vendace,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,5360,LC,2015-2,7
Fis-25886,5892,Brachaelurus,waddi,Blind shark,Animalia,Chordata,Elasmobranchii,Orectolobiformes,Brachaeluridae,41732,LC,2015-2,7
SLB-61985,46244,Cladocora,arbuscula,tube coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,133575,LC,2015-2,17
ITS-Mam-612598,88923,Mesoplodon,traversii,spade-toothed beaked whale,Animalia,Chordata,Mammalia,Cetacea,Ziphiidae,41760,DD,2015-2,8
ITS-Mam-180450,69390,Cephalorhynchus,eutropia,black dolphin,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,4160,NT,2015-2,8
ITS-Mam-180420,69374,Sousa,teuszii,Atlantic hump-backed dolphin,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,20425,VU,2015-2,8
ITS-Mam-180635,68960,Arctocephalus,philippii,Juan Fernandez fur seal,Animalia,Chordata,Mammalia,Carnivora,Otariidae,2059,NT,2015-2,8
ITS-Mam-180513,68997,Mesoplodon,bowdoini,Andrew's beaked whale,Animalia,Chordata,Mammalia,Cetacea,Ziphiidae,13242,DD,2015-2,8
ITS-Mam-612591,70931,Eubalaena,japonica,North Pacific right whale,Animalia,Chordata,Mammalia,Cetacea,Balaenidae,41711,EN,2015-2,8
ITS-Mam-180419,69373,Sousa,chinensis,Pacific humpback dolphin,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,20424,NT,2015-2,8
ITS-556336,94144,Alluroteuthis,antarcticus,Antarctic neosquid,Animalia,Mollusca,Cephalopoda,Teuthida,Neoteuthidae,163260,LC,2015-2,17
SLB-88336,83474,Actinopyga,miliaris,hairy blackfish,Animalia,Echinodermata,Holothuroidea,Aspidochirotida,Holothuriidae,180265,VU,2015-2,17
Fis-29372,4,Engraulis,ringens,Anchoveta,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,183775,LC,2015-2,7
Fis-22215,6,Coryphaena,hippurus,Common dolphinfish,Animalia,Chordata,Actinopterygii,Perciformes,Coryphaenidae,154712,LC,2015-2,7
Fis-29358,7,Coryphaena,equiselis,Pompano dolphinfish,Animalia,Chordata,Actinopterygii,Perciformes,Coryphaenidae,170350,LC,2015-2,NA
Fis-22703,12,Cephalopholis,cruentata,Graysby,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,132761,LC,2015-2,NA
Fis-22704,14,Epinephelus,adscensionis,Rock hind,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,132819,LC,2015-2,NA
Fis-22720,16,Epinephelus,itajara,Atlantic goliath grouper,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,195409,CR,2015-2,7
Fis-22721,17,Epinephelus,morio,Red grouper,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,44681,NT,2015-2,NA
Fis-22722,18,Epinephelus,striatus,Nassau grouper,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,7862,EN,2015-2,11
Fis-29302,19,Balistes,vetula,Queen triggerfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,2539,VU,2015-2,NA
Fis-29344,24,Clupea,harengus,Atlantic herring,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,155123,LC,2015-2,7
Fis-22711,35,Anguilla,anguilla,European eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,60344,CR,2015-2,7
Fis-22713,42,Arnoglossus,imperialis,Imperial scaldfish,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,154687,LC,2015-2,7
Fis-22731,48,Parablennius,gattorugine,Tompot blenny,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,185128,LC,2015-2,NA
Fis-22742,53,Buglossidium,luteum,Solenette,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,155044,LC,2015-2,7
Fis-22745,55,Centrolabrus,exoletus,Rock cook,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,187803,LC,2015-2,25
Fis-22750,58,Coris,julis,Mediterranean rainbow wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,187752,LC,2015-2,NA
Fis-22769,59,Symphodus,melops,Corkwing wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,187748,LC,2015-2,NA
Fis-22752,61,Ctenolabrus,rupestris,Goldsinny-wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,187751,LC,2015-2,NA
Fis-22755,63,Dicentrarchus,labrax,European seabass,Animalia,Chordata,Actinopterygii,Perciformes,Moronidae,135606,LC,2015-2,7
Fis-29394,69,Gadus,morhua,Atlantic cod,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,8784,VU,2015-2,16
Fis-22766,77,Istiophorus,platypterus,Indo-Pacific sailfish,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,170338,LC,2015-2,7
Fis-22219,85,Apsilus,dentatus,Black snapper,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,155126,LC,2015-2,NA
Fis-29375,87,Etelis,carbunculus,Deep-water red snapper,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,154999,DD,2015-2,7
Fis-22768,88,Lamna,nasus,Porbeagle,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,11200,VU,2015-2,7
Fis-22735,89,Acanthocybium,solandri,Wahoo,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170331,LC,2015-2,16
Fis-22747,90,Cetorhinus,maximus,Basking shark,Animalia,Chordata,Elasmobranchii,Lamniformes,Cetorhinidae,4292,VU,2015-2,16
Fis-29265,91,Allothunnus,fallai,Slender tuna,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170349,LC,2015-2,7
Fis-22738,93,Auxis,rochei,Bullet tuna,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170355,LC,2015-2,7
Fis-22739,94,Auxis,thazard,Frigate tuna,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170344,LC,2015-2,7
Fis-22754,95,Cybiosarda,elegans,Leaping bonito,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170321,LC,2015-2,NA
Fis-22758,96,Euthynnus,affinis,Kawakawa,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170336,LC,2015-2,7
Fis-22759,97,Euthynnus,alletteratus,Little tunny,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170345,LC,2015-2,NA
Fis-29391,98,Euthynnus,lineatus,Black skipjack,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170320,LC,2015-2,16
Fis-29263,99,Alepisaurus,ferox,Long snouted lancetfish,Animalia,Chordata,Actinopterygii,Aulopiformes,Alepisauridae,154820,LC,2015-2,NA
Fis-29402,100,Gasterochisma,melampus,Butterfly kingfish,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170340,LC,2015-2,NA
Fis-21661,103,Grammatorcynus,bicarinatus,Shark mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170308,LC,2015-2,NA
Fis-21662,104,Grammatorcynus,bilineatus,Double-lined mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170358,LC,2015-2,NA
Fis-22776,106,Gymnosarda,unicolor,Dogtooth tuna,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170342,LC,2015-2,NA
Fis-22777,107,Katsuwonus,pelamis,Skipjack tuna,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170310,LC,2015-2,16
Fis-22805,108,Orcynopsis,unicolor,Plain bonito,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170319,LC,2015-2,NA
Fis-22812,109,Rastrelliger,brachysoma,Short mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170318,DD,2015-2,NA
Fis-29499,110,Rastrelliger,faughni,Island mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170324,DD,2015-2,NA
Fis-22813,111,Rastrelliger,kanagurta,Indian mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170328,DD,2015-2,16
Fis-22815,112,Sarda,australis,Australian bonito,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170332,LC,2015-2,NA
Fis-22817,114,Sarda,orientalis,Striped bonito,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170313,LC,2015-2,NA
Fis-22818,115,Sarda,sarda,Atlantic bonito,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,155096,LC,2015-2,NA
Fis-29506,116,Scomber,australasicus,Blue mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170329,LC,2015-2,24
Fis-29507,117,Scomber,japonicus,Chub mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170306,LC,2015-2,NA
Fis-29508,118,Scomber,scombrus,Atlantic mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170354,LC,2015-2,11
Fis-29509,119,Scomberomorus,brasiliensis,Serra Spanish mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170335,LC,2015-2,NA
Fis-22819,120,Scomberomorus,cavalla,King mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170339,LC,2015-2,NA
Fis-22820,121,Scomberomorus,commerson,Narrow-barred Spanish mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170316,NT,2015-2,NA
Fis-22821,122,Scomberomorus,concolor,Monterey Spanish mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,20047,VU,2015-2,11
Fis-22822,123,Scomberomorus,guttatus,Indo-Pacific king mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170311,DD,2015-2,NA
Fis-22823,124,Scomberomorus,koreanus,Korean seerfish,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170343,LC,2015-2,NA
Fis-22824,125,Scomberomorus,lineolatus,Streaked seerfish,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170353,LC,2015-2,NA
Fis-22825,126,Scomberomorus,maculatus,Atlantic Spanish mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170323,LC,2015-2,NA
Fis-29510,129,Scomberomorus,munroi,Australian spotted mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170330,NT,2015-2,NA
Fis-22826,131,Scomberomorus,niphonius,Japanese Spanish mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170356,DD,2015-2,NA
Fis-29511,132,Scomberomorus,plurilineatus,Kanadi kingfish,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170348,DD,2015-2,NA
Fis-29512,133,Scomberomorus,queenslandicus,Queensland school mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,154946,LC,2015-2,NA
Fis-22827,134,Scomberomorus,regalis,Cero,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170327,LC,2015-2,7
Fis-22828,135,Scomberomorus,semifasciatus,Broad-barred king mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170337,LC,2015-2,NA
Fis-29513,136,Scomberomorus,sierra,Pacific sierra,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170325,LC,2015-2,NA
Fis-22829,137,Scomberomorus,sinensis,Chinese seerfish,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170346,DD,2015-2,NA
Fis-22831,138,Somniosus,microcephalus,Greenland shark,Animalia,Chordata,Elasmobranchii,Squaliformes,Somniosidae,60213,NT,2015-2,7
Fis-29532,139,Squalus,acanthias,Picked dogfish,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,39326,VU,2015-2,23
Fis-22814,140,Rhinobatos,percellens,Chola guitarfish,Animalia,Chordata,Elasmobranchii,Rajiformes,Rhinobatidae,161373,NT,2015-2,NA
Fis-22830,141,Scomberomorus,tritor,West African Spanish mackerel,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,170326,LC,2015-2,7
Fis-22832,142,Thunnus,alalunga,Albacore,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,21856,NT,2015-2,7
Fis-22833,143,Thunnus,albacares,Yellowfin tuna,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,21857,NT,2015-2,7
Fis-22834,144,Thunnus,atlanticus,Blackfin tuna,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,155276,LC,2015-2,NA
Fis-22835,145,Thunnus,maccoyii,Southern bluefin tuna,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,21858,CR,2015-2,7
Fis-22836,146,Thunnus,obesus,Bigeye tuna,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,21859,VU,2015-2,16
Fis-49220,147,Thunnus,thynnus,Atlantic bluefin tuna,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,21860,EN,2015-2,16
